epoch,categorical_accuracy,loss,lr
0,0.29124528902630165,1.3520923330685364,0.002
1,0.3491264727747278,1.2846285258439236,0.002
2,0.38108987945397532,1.2503469995352472,0.002
3,0.40759070168046091,1.2078806782447957,0.002
4,0.4173636608821108,1.1791545554606953,0.002
5,0.43694428406242225,1.1451213433871585,0.002
6,0.44910495482356355,1.1182957033240859,0.002
7,0.4567470200913013,1.0954140540192716,0.002
8,0.4746617983460576,1.069793264750746,0.002
9,0.48117941810220061,1.0465887397908935,0.002
10,0.48947393980703813,1.0270776011127785,0.002
